Name,Predict,Ground Truth
1.jpg,2982.85693359375,4631
10.jpg,649.8643798828125,700
11.jpg,503.36669921875,484
12.jpg,541.0479736328125,581
13.jpg,971.9090576171876,730
14.jpg,867.0228881835938,2961
15.jpg,133.35430908203125,1543
16.jpg,252.1625061035156,209
17.jpg,282.772705078125,361
18.jpg,527.84228515625,682
19.jpg,11.57704734802246,754
2.jpg,2036.41015625,1940
20.jpg,830.6390380859375,2705
21.jpg,261.5751037597656,376
22.jpg,674.1603393554688,967
23.jpg,501.5549011230469,679
24.jpg,908.2662353515624,1566
25.jpg,620.5818481445312,890
26.jpg,825.9912109375,2391
27.jpg,788.2671508789062,1858
28.jpg,1577.30908203125,1739
29.jpg,1047.86962890625,1601
3.jpg,3257.44970703125,2364
30.jpg,72.86093139648438,248
31.jpg,1971.1229248046875,1998
32.jpg,366.0272216796875,562
33.jpg,326.85040283203125,311
34.jpg,742.114501953125,1115
35.jpg,1284.208251953125,1050
36.jpg,807.9287109375,2105
37.jpg,1660.4488525390625,917
38.jpg,575.2628784179688,440
39.jpg,155.58859252929688,164
4.jpg,20.99720764160156,96
40.jpg,1547.479736328125,1037
41.jpg,1437.6658935546875,1284
42.jpg,517.43701171875,329
43.jpg,68.73989868164062,947
44.jpg,3852.040283203125,2358
45.jpg,1829.86962890625,1451
46.jpg,1494.47900390625,1366
47.jpg,1821.9019775390625,1961
48.jpg,2300.55810546875,2372
49.jpg,828.442138671875,588
5.jpg,441.9832153320313,469
50.jpg,413.60205078125,440
6.jpg,442.74462890625,2549
7.jpg,805.73681640625,648
8.jpg,969.4338989257812,1046
9.jpg,675.3078002929688,3406
